source sink weight
0 2 10.0
1 2 10.0
3 2 10.0
4 2 10.0
5 2 10.0
6 2 10.0
7 2 10.0
8 2 10.0
9 2 10.0
10 2 10.0
11 2 10.0
12 2 10.0
13 2 10.0
14 2 10.0
15 2 10.0
16 2 10.0
17 2 10.0
18 2 10.0
19 2 10.0
20 2 10.0
21 2 10.0
22 2 10.0
23 2 10.0
24 2 10.0
25 2 10.0
26 2 10.0
27 2 10.0
28 2 10.0
29 2 10.0
30 2 10.0
31 2 10.0
32 2 10.0
33 2 10.0
34 2 10.0
35 2 10.0
36 2 10.0
37 2 10.0
38 2 10.0
39 2 10.0
40 2 10.0
41 2 10.0
42 2 10.0
43 2 10.0
44 2 10.0
45 2 10.0
46 2 10.0
47 2 10.0
48 2 10.0
49 2 10.0
