source sink weight
0 27 10.0
1 2 10.0
3 43 10.0
4 13 10.0
5 49 10.0
6 10 10.0
7 40 10.0
8 19 10.0
9 47 10.0
10 2 10.0
11 35 10.0
12 2 10.0
13 49 10.0
14 2 10.0
15 34 10.0
16 2 10.0
17 31 10.0
18 2 10.0
19 24 10.0
20 39 10.0
21 2 10.0
22 2 10.0
23 8 10.0
24 2 10.0
25 2 10.0
26 2 10.0
27 11 10.0
28 16 10.0
29 15 10.0
30 2 10.0
31 13 10.0
32 45 10.0
33 2 10.0
34 2 10.0
35 2 10.0
36 31 10.0
37 2 10.0
38 2 10.0
39 14 10.0
40 2 10.0
41 2 10.0
42 2 10.0
43 36 10.0
44 2 10.0
45 20 10.0
46 47 10.0
47 2 10.0
48 34 10.0
49 30 10.0
