source sink weight
0 63 10.0
1 63 10.0
2 63 10.0
3 63 10.0
4 63 10.0
5 63 10.0
6 63 10.0
7 63 10.0
8 63 10.0
9 63 10.0
10 63 10.0
11 63 10.0
12 63 10.0
13 63 10.0
14 63 10.0
15 63 10.0
16 63 10.0
17 63 10.0
18 63 10.0
19 63 10.0
20 63 10.0
21 63 10.0
22 63 10.0
23 63 10.0
24 63 10.0
25 63 10.0
26 63 10.0
27 63 10.0
28 63 10.0
29 63 10.0
30 63 10.0
31 63 10.0
32 63 10.0
33 63 10.0
34 63 10.0
35 63 10.0
36 63 10.0
37 63 10.0
38 63 10.0
39 63 10.0
40 63 10.0
41 63 10.0
42 63 10.0
43 63 10.0
44 63 10.0
45 63 10.0
46 63 10.0
47 63 10.0
48 63 10.0
49 63 10.0
50 63 10.0
51 63 10.0
52 63 10.0
53 63 10.0
54 63 10.0
55 63 10.0
56 63 10.0
57 63 10.0
58 63 10.0
59 63 10.0
60 63 10.0
61 63 10.0
62 63 10.0
64 63 10.0
65 63 10.0
66 63 10.0
67 63 10.0
68 63 10.0
69 63 10.0
70 63 10.0
71 63 10.0
72 63 10.0
73 63 10.0
74 63 10.0
75 63 10.0
76 63 10.0
77 63 10.0
78 63 10.0
79 63 10.0
80 63 10.0
81 63 10.0
82 63 10.0
83 63 10.0
84 63 10.0
85 63 10.0
86 63 10.0
87 63 10.0
88 63 10.0
89 63 10.0
90 63 10.0
91 63 10.0
92 63 10.0
93 63 10.0
94 63 10.0
95 63 10.0
96 63 10.0
97 63 10.0
98 63 10.0
99 63 10.0
